#R,User base,Service quality,#K,space_col_1,Business(pk),Standard(pk),Low-cost(pk),space_col_2,Business(ride),Standard(ride),Low-cost(ride),space_col_3,Runtime(s)
10,B+,0%,5.0,,136.6,134.8,278.2,,0.0,0.0,0.0,,5
10,B+,80%,6.8,,41.2,103.8,285.8,,0.0,12.9,0.0,,5
10,B+,90%,6.8,,41.2,103.8,285.8,,0.0,12.9,0.0,,5
10,B+,100%,6.8,,41.2,103.8,285.8,,0.0,12.9,0.0,,5
10,S+,0%,5.3,,112.8,182.5,228.2,,0.0,32.9,54.5,,3
10,S+,80%,5.7,,94.3,154.8,254.2,,0.0,40.4,54.5,,3
10,S+,90%,5.7,,94.3,154.8,254.2,,0.0,40.4,54.5,,3
10,S+,100%,6.3,,94.2,113.3,327.3,,0.0,34.0,0.0,,3
10,L+,0%,6.8,,188.6,148.1,146.8,,0.0,13.8,38.5,,5
10,L+,80%,7.4,,90.8,119.1,147.0,,0.0,23.2,23.4,,5
10,L+,90%,7.6,,90.8,111.2,147.0,,0.0,9.5,23.4,,5
10,L+,100%,7.6,,90.8,111.2,147.0,,0.0,9.5,23.4,,5
15,B+,0%,10.4,,138.3,175.6,203.5,,0.0,22.9,12.9,,5
15,B+,80%,11.8,,90.9,134.2,221.6,,0.0,48.4,12.9,,5
15,B+,90%,12.2,,90.5,109.1,220.5,,0.0,48.4,12.9,,5
15,B+,100%,12.2,,90.5,109.1,220.5,,0.0,48.4,12.9,,5
15,S+,0%,9.0,,57.6,143.3,176.3,,0.0,46.8,57.0,,4
15,S+,80%,9.2,,57.6,126.0,175.0,,0.0,60.7,56.6,,4
15,S+,90%,9.2,,57.6,126.0,175.0,,0.0,60.7,56.6,,4
15,S+,100%,9.8,,57.6,115.0,175.0,,0.0,49.8,56.6,,4
15,L+,0%,9.0,,68.8,152.3,165.1,,0.0,0.0,67.3,,4
15,L+,80%,9.2,,59.2,147.9,163.6,,0.0,0.0,67.3,,4
15,L+,90%,9.5,,59.2,124.6,163.6,,0.0,0.0,60.8,,4
15,L+,100%,9.5,,59.2,124.6,162.4,,0.0,0.0,61.9,,4
20,B+,0%,14.0,,124.2,227.8,205.6,,0.0,28.5,8.1,,5
20,B+,80%,16.8,,73.1,162.0,223.5,,0.0,28.5,12.3,,5
20,B+,90%,17.2,,73.1,134.4,199.2,,0.0,6.0,11.5,,5
20,B+,100%,17.2,,73.1,134.4,199.2,,0.0,6.0,11.5,,5
20,S+,0%,11.0,,170.0,199.7,159.1,,0.0,25.9,0.2,,2
20,S+,80%,12.5,,94.6,193.0,184.7,,0.0,23.9,30.8,,2
20,S+,90%,13.5,,76.0,166.7,174.8,,0.0,14.5,7.2,,2
20,S+,100%,14.5,,74.8,141.0,173.8,,0.0,14.5,7.2,,2
20,L+,0%,10.0,,116.0,201.7,181.7,,0.0,42.3,49.7,,1
20,L+,80%,10.0,,116.0,103.3,197.7,,0.0,151.3,39.4,,1
20,L+,90%,10.0,,116.0,103.3,197.7,,0.0,151.3,39.4,,1
20,L+,100%,11.0,,116.0,69.2,197.7,,0.0,133.2,35.2,,1
