test,instance,passenger_count,id_instance,demand_size,group_id,max_vehicle_capacity,fleet_size,total_capacity,user_base,objective_function,run_time,total_delay_C_obj_val,total_delay_B_obj_val,total_delay_A_obj_val,first_tier_rides_C_obj_val,first_tier_rides_B_obj_val,first_tier_rides_A_obj_val,fleet_capacity_obj_val,total_delay_C_obj_mip_gap,total_delay_B_obj_mip_gap,total_delay_A_obj_mip_gap,first_tier_rides_C_obj_mip_gap,first_tier_rides_B_obj_mip_gap,first_tier_rides_A_obj_mip_gap,fleet_capacity_obj_mip_gap,capacity_01,capacity_02,capacity_03,capacity_04,pk_delay_mean_A,pk_delay_mean_B,pk_delay_mean_C,pk_delay_sum_A,pk_delay_sum_B,pk_delay_sum_C,ride_delay_mean_A,ride_delay_mean_B,ride_delay_mean_C,ride_delay_sum_A,ride_delay_sum_B,ride_delay_sum_C,tier_1,tier_1_A,tier_1_B,tier_1_C,tier_1_pk_delay_sum,tier_1_pk_delay_sum_A,tier_1_pk_delay_sum_B,tier_1_pk_delay_sum_C,tier_1_ride_delay_sum,tier_1_ride_delay_sum_A,tier_1_ride_delay_sum_B,tier_1_ride_delay_sum_C,tier_2,tier_2_A,tier_2_B,tier_2_C,tier_2_pk_delay_sum,tier_2_pk_delay_sum_A,tier_2_pk_delay_sum_B,tier_2_pk_delay_sum_C,tier_2_ride_delay_sum,tier_2_ride_delay_sum_A,tier_2_ride_delay_sum_B,tier_2_ride_delay_sum_C,total,total_A,total_B,total_C,total_delay,total_pk_delay,total_pk_delay_A,total_pk_delay_B,total_pk_delay_C,total_ride_delay,total_ride_delay_A,total_ride_delay_B,total_ride_delay_C
slevels_050,slevels_050__manhattan__010__AA__A-68_B-16_C-16__001__maxpcount_01,maxpcount_01,001,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,39.44296455383301,1031,173,169,-3,-2,-5,24,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,6,33.8,35.5,343.6666666666667,169.0,71.0,1031.0,0.0,51.0,0.0,0.0,102.0,0.0,10.0,5.0,2.0,3.0,1271.0,169.0,71.0,1031.0,102.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1373.0,1271.0,169.0,71.0,1031.0,102.0,0.0,102.0,0.0
slevels_080,slevels_080__manhattan__010__AA__A-68_B-16_C-16__001__maxpcount_01,maxpcount_01,001,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,31.027904510498047,1031,173,169,-3,-2,-5,24,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,6,33.8,35.5,343.6666666666667,169.0,71.0,1031.0,0.0,51.0,0.0,0.0,102.0,0.0,10.0,5.0,2.0,3.0,1271.0,169.0,71.0,1031.0,102.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1373.0,1271.0,169.0,71.0,1031.0,102.0,0.0,102.0,0.0
slevels_090,slevels_090__manhattan__010__AA__A-68_B-16_C-16__001__maxpcount_01,maxpcount_01,001,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,31.608972549438477,1031,173,169,-3,-2,-5,24,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,6,33.8,35.5,343.6666666666667,169.0,71.0,1031.0,0.0,51.0,0.0,0.0,102.0,0.0,10.0,5.0,2.0,3.0,1271.0,169.0,71.0,1031.0,102.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1373.0,1271.0,169.0,71.0,1031.0,102.0,0.0,102.0,0.0
slevels_100,slevels_100__manhattan__010__AA__A-68_B-16_C-16__001__maxpcount_01,maxpcount_01,001,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,56.56180000305176,1031,173,169,-3,-2,-5,24,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,6,33.8,35.5,343.6666666666667,169.0,71.0,1031.0,0.0,51.0,0.0,0.0,102.0,0.0,10.0,5.0,2.0,3.0,1271.0,169.0,71.0,1031.0,102.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1373.0,1271.0,169.0,71.0,1031.0,102.0,0.0,102.0,0.0
status_quo,status_quo__manhattan__010__AA__A-68_B-16_C-16__001__maxpcount_01,maxpcount_01,001,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,151.15293502807617,917,22,380,-3,-2,-5,24,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,6,76.0,11.0,305.6666666666667,380.0,22.0,917.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1319.0,380.0,22.0,917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1319.0,1319.0,380.0,22.0,917.0,0.0,0.0,0.0,0.0
slevels_050,slevels_050__manhattan__010__AA__A-68_B-16_C-16__002__maxpcount_01,maxpcount_01,002,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,1.2718524932861328,582,0,469,-2,0,-8,28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,7,58.625,,291.0,469.0,0.0,582.0,0.0,,0.0,0.0,0.0,0.0,10.0,8.0,0.0,2.0,1051.0,469.0,0.0,582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,2.0,1051.0,1051.0,469.0,0.0,582.0,0.0,0.0,0.0,0.0
slevels_080,slevels_080__manhattan__010__AA__A-68_B-16_C-16__002__maxpcount_01,maxpcount_01,002,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,1.2309761047363281,582,0,469,-2,0,-8,28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,7,58.625,,291.0,469.0,0.0,582.0,0.0,,0.0,0.0,0.0,0.0,10.0,8.0,0.0,2.0,1051.0,469.0,0.0,582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,2.0,1051.0,1051.0,469.0,0.0,582.0,0.0,0.0,0.0,0.0
slevels_090,slevels_090__manhattan__010__AA__A-68_B-16_C-16__002__maxpcount_01,maxpcount_01,002,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,1.2121505737304688,582,0,469,-2,0,-8,28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,7,58.625,,291.0,469.0,0.0,582.0,0.0,,0.0,0.0,0.0,0.0,10.0,8.0,0.0,2.0,1051.0,469.0,0.0,582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,2.0,1051.0,1051.0,469.0,0.0,582.0,0.0,0.0,0.0,0.0
slevels_100,slevels_100__manhattan__010__AA__A-68_B-16_C-16__002__maxpcount_01,maxpcount_01,002,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,1.22796630859375,582,0,469,-2,0,-8,28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,7,58.625,,291.0,469.0,0.0,582.0,0.0,,0.0,0.0,0.0,0.0,10.0,8.0,0.0,2.0,1051.0,469.0,0.0,582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,2.0,1051.0,1051.0,469.0,0.0,582.0,0.0,0.0,0.0,0.0
status_quo,status_quo__manhattan__010__AA__A-68_B-16_C-16__002__maxpcount_01,maxpcount_01,002,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,1.1491470336914062,572,0,1287,-2,0,-8,20,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,5,160.875,,286.0,1287.0,0.0,572.0,0.0,,0.0,0.0,0.0,0.0,10.0,8.0,0.0,2.0,1859.0,1287.0,0.0,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,2.0,1859.0,1859.0,1287.0,0.0,572.0,0.0,0.0,0.0,0.0
