test,instance,passenger_count,id_instance,demand_size,group_id,max_vehicle_capacity,fleet_size,total_capacity,user_base,objective_function,run_time,total_delay_C_obj_val,total_delay_B_obj_val,total_delay_A_obj_val,first_tier_rides_C_obj_val,first_tier_rides_B_obj_val,first_tier_rides_A_obj_val,fleet_capacity_obj_val,total_delay_C_obj_mip_gap,total_delay_B_obj_mip_gap,total_delay_A_obj_mip_gap,first_tier_rides_C_obj_mip_gap,first_tier_rides_B_obj_mip_gap,first_tier_rides_A_obj_mip_gap,fleet_capacity_obj_mip_gap,capacity_01,capacity_02,capacity_03,capacity_04,pk_delay_mean_A,pk_delay_mean_B,pk_delay_mean_C,pk_delay_sum_A,pk_delay_sum_B,pk_delay_sum_C,ride_delay_mean_A,ride_delay_mean_B,ride_delay_mean_C,ride_delay_sum_A,ride_delay_sum_B,ride_delay_sum_C,tier_1,tier_1_A,tier_1_B,tier_1_C,tier_1_pk_delay_sum,tier_1_pk_delay_sum_A,tier_1_pk_delay_sum_B,tier_1_pk_delay_sum_C,tier_1_ride_delay_sum,tier_1_ride_delay_sum_A,tier_1_ride_delay_sum_B,tier_1_ride_delay_sum_C,tier_2,tier_2_A,tier_2_B,tier_2_C,tier_2_pk_delay_sum,tier_2_pk_delay_sum_A,tier_2_pk_delay_sum_B,tier_2_pk_delay_sum_C,tier_2_ride_delay_sum,tier_2_ride_delay_sum_A,tier_2_ride_delay_sum_B,tier_2_ride_delay_sum_C,total,total_A,total_B,total_C,total_delay,total_pk_delay,total_pk_delay_A,total_pk_delay_B,total_pk_delay_C,total_ride_delay,total_ride_delay_A,total_ride_delay_B,total_ride_delay_C
slevels_050,slevels_050__manhattan__010__AA__A-68_B-16_C-16__001__maxpcount_01,maxpcount_01,001,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,2.1763172149658203,726,58,359,-3,-2,-5,32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,8,71.8,29.0,218.0,359.0,58.0,654.0,0.0,0.0,24.0,0.0,0.0,72.0,10.0,5.0,2.0,3.0,1071.0,359.0,58.0,654.0,72.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1143.0,1071.0,359.0,58.0,654.0,72.0,0.0,0.0,72.0
slevels_080,slevels_080__manhattan__010__AA__A-68_B-16_C-16__001__maxpcount_01,maxpcount_01,001,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,1.8727149963378906,726,58,359,-3,-2,-5,32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,8,71.8,29.0,207.66666666666666,359.0,58.0,623.0,0.0,0.0,34.333333333333336,0.0,0.0,103.0,10.0,5.0,2.0,3.0,1040.0,359.0,58.0,623.0,103.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1143.0,1040.0,359.0,58.0,623.0,103.0,0.0,0.0,103.0
slevels_090,slevels_090__manhattan__010__AA__A-68_B-16_C-16__001__maxpcount_01,maxpcount_01,001,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.8268661499023438,726,58,359,-3,-2,-5,32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,8,71.8,29.0,207.66666666666666,359.0,58.0,623.0,0.0,0.0,34.333333333333336,0.0,0.0,103.0,10.0,5.0,2.0,3.0,1040.0,359.0,58.0,623.0,103.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1143.0,1040.0,359.0,58.0,623.0,103.0,0.0,0.0,103.0
slevels_100,slevels_100__manhattan__010__AA__A-68_B-16_C-16__001__maxpcount_01,maxpcount_01,001,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,1.299825668334961,726,58,359,-3,-2,-5,32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,8,71.8,29.0,207.66666666666666,359.0,58.0,623.0,0.0,0.0,34.333333333333336,0.0,0.0,103.0,10.0,5.0,2.0,3.0,1040.0,359.0,58.0,623.0,103.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1143.0,1040.0,359.0,58.0,623.0,103.0,0.0,0.0,103.0
status_quo,status_quo__manhattan__010__AA__A-68_B-16_C-16__001__maxpcount_01,maxpcount_01,001,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,1.162912368774414,726,58,359,-3,-2,-5,32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,8,71.8,29.0,218.0,359.0,58.0,654.0,0.0,0.0,24.0,0.0,0.0,72.0,10.0,5.0,2.0,3.0,1071.0,359.0,58.0,654.0,72.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,1143.0,1071.0,359.0,58.0,654.0,72.0,0.0,0.0,72.0
slevels_050,slevels_050__manhattan__010__AA__A-68_B-16_C-16__002__maxpcount_01,maxpcount_01,002,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.13265037536621094,273,411,357,-1,-4,-5,32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,8,71.4,102.75,273.0,357.0,411.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,1.0,1041.0,357.0,411.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,1.0,1041.0,1041.0,357.0,411.0,273.0,0.0,0.0,0.0,0.0
slevels_080,slevels_080__manhattan__010__AA__A-68_B-16_C-16__002__maxpcount_01,maxpcount_01,002,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.1376361846923828,273,411,357,-1,-4,-5,32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,8,71.4,102.75,273.0,357.0,411.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,1.0,1041.0,357.0,411.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,1.0,1041.0,1041.0,357.0,411.0,273.0,0.0,0.0,0.0,0.0
slevels_090,slevels_090__manhattan__010__AA__A-68_B-16_C-16__002__maxpcount_01,maxpcount_01,002,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.07679367065429688,273,411,357,-1,-4,-5,32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,8,71.4,102.75,273.0,357.0,411.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,1.0,1041.0,357.0,411.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,1.0,1041.0,1041.0,357.0,411.0,273.0,0.0,0.0,0.0,0.0
slevels_100,slevels_100__manhattan__010__AA__A-68_B-16_C-16__002__maxpcount_01,maxpcount_01,002,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.06682395935058594,273,411,357,-1,-4,-5,32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,8,71.4,102.75,273.0,357.0,411.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,1.0,1041.0,357.0,411.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,1.0,1041.0,1041.0,357.0,411.0,273.0,0.0,0.0,0.0,0.0
status_quo,status_quo__manhattan__010__AA__A-68_B-16_C-16__002__maxpcount_01,maxpcount_01,002,10,010_AA,4,10,40,AA,total_delay__first_tier_rides__fleet_capacity,0.16755294799804688,273,411,631,-1,-4,-5,28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,7,126.2,102.75,273.0,631.0,411.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,1.0,1315.0,631.0,411.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,1.0,1315.0,1315.0,631.0,411.0,273.0,0.0,0.0,0.0,0.0
