,test,id_instance,demand_size,user_base,fleet_size,pk_delay_mean_A,pk_delay_mean_B,pk_delay_mean_C,ride_delay_mean_A,ride_delay_mean_B,ride_delay_mean_C,total_pk_delay,total_ride_delay,run_time
2,slevels_090,1,10,AA,6.0,33.8,35.5,343.66666666666674,0.0,51.0,0.0,1271.0,102.0,31.60897254943848
7,slevels_090,2,10,AA,7.0,58.625,,291.0,0.0,,0.0,1051.0,0.0,1.2121505737304688
12,slevels_090,3,10,AA,8.0,24.714285714285715,78.5,283.0,0.0,0.0,0.0,613.0,0.0,0.8841114044189453
17,slevels_090,4,10,AA,6.0,41.0,151.0,284.3333333333333,0.0,0.5,0.0,1360.0,1.0,15.496925354003904
22,slevels_090,5,10,AA,7.0,47.66666666666666,150.0,227.0,0.0,0.0,0.0,1117.0,0.0,0.882110595703125
3,slevels_100,1,10,AA,6.0,33.8,35.5,343.66666666666674,0.0,51.0,0.0,1271.0,102.0,56.56180000305176
8,slevels_100,2,10,AA,7.0,58.625,,291.0,0.0,,0.0,1051.0,0.0,1.22796630859375
13,slevels_100,3,10,AA,8.0,24.714285714285715,78.5,283.0,0.0,0.0,0.0,613.0,0.0,0.8771152496337891
18,slevels_100,4,10,AA,6.0,41.0,151.0,284.3333333333333,0.0,0.5,0.0,1360.0,1.0,6.161569595336914
23,slevels_100,5,10,AA,7.0,47.66666666666666,150.0,227.0,0.0,0.0,0.0,1117.0,0.0,0.8050994873046875
4,status_quo,1,10,AA,6.0,76.0,11.0,305.6666666666667,0.0,0.0,0.0,1319.0,0.0,151.15293502807614
9,status_quo,2,10,AA,5.0,160.875,,286.0,0.0,,0.0,1859.0,0.0,1.1491470336914062
14,status_quo,3,10,AA,5.0,105.14285714285714,304.0,283.0,0.0,0.0,0.0,1627.0,0.0,1.945240020751953
19,status_quo,4,10,AA,4.0,152.4,165.0,284.3333333333333,0.0,0.0,0.0,1945.0,0.0,44.49640083312988
24,status_quo,5,10,AA,5.0,188.5,59.0,232.0,0.0,0.0,0.0,1886.0,0.0,1.475179672241211
32,slevels_090,2,10,BB,5.0,76.0,112.4,294.0,0.0,72.0,0.0,1160.0,360.0,8.842105865478516
42,slevels_090,4,10,BB,6.0,84.0,184.28571428571428,87.5,0.0,14.428571428571427,163.5,1549.0,428.0,23.51295661926269
47,slevels_090,5,10,BB,6.0,123.0,167.83333333333334,381.0,0.0,34.666666666666664,0.0,1757.0,208.0,0.6650791168212891
33,slevels_100,2,10,BB,5.0,76.0,112.4,294.0,0.0,72.0,0.0,1160.0,360.0,8.264039993286133
43,slevels_100,4,10,BB,7.0,84.0,111.85714285714286,385.0,0.0,14.428571428571427,0.0,1637.0,101.0,9.812240600585938
48,slevels_100,5,10,BB,7.0,122.66666666666669,115.66666666666669,303.0,0.0,15.666666666666664,0.0,1365.0,94.0,0.29903602600097656
34,status_quo,2,10,BB,4.0,131.75,188.6,294.0,0.0,68.6,0.0,1764.0,343.0,2653.5120449066158
44,status_quo,4,10,BB,6.0,84.0,184.28571428571428,87.5,0.0,14.428571428571427,163.5,1549.0,428.0,28.14054298400879
49,status_quo,5,10,BB,6.0,122.66666666666669,174.5,303.0,0.0,15.666666666666664,0.0,1718.0,94.0,0.5900726318359375
77,slevels_090,1,10,CC,9.0,85.33333333333333,41.0,119.4,0.0,0.0,15.6,935.0,78.0,0.11901473999023438
82,slevels_090,2,10,CC,7.0,103.0,40.0,129.25,0.0,0.0,38.75,1177.0,310.0,4.996770858764648
87,slevels_090,3,10,CC,8.0,102.66666666666669,191.0,147.6,0.0,0.0,5.6,1428.0,28.0,0.9552268981933594
92,slevels_090,4,10,CC,6.0,72.0,173.5,211.5,0.0,0.0,57.16666666666666,1760.0,343.0,5.885660171508789
97,slevels_090,5,10,CC,8.0,,110.6,127.2,,47.4,0.0,1189.0,237.0,0.4530124664306641
78,slevels_100,1,10,CC,9.0,85.33333333333333,41.0,119.4,0.0,0.0,15.6,935.0,78.0,0.155609130859375
83,slevels_100,2,10,CC,7.0,103.0,40.0,129.25,0.0,0.0,38.75,1177.0,310.0,5.907611846923827
88,slevels_100,3,10,CC,8.0,102.66666666666669,191.0,147.6,0.0,0.0,5.6,1428.0,28.0,0.9704189300537108
93,slevels_100,4,10,CC,6.0,72.0,173.5,211.5,0.0,0.0,57.16666666666666,1760.0,343.0,6.4210872650146475
98,slevels_100,5,10,CC,8.0,,110.6,127.2,,47.4,0.0,1189.0,237.0,0.4274253845214844
79,status_quo,1,10,CC,8.0,180.66666666666663,41.0,119.4,0.0,0.0,15.6,1221.0,78.0,0.2190265655517578
84,status_quo,2,10,CC,6.0,399.0,40.0,128.375,0.0,0.0,68.5,1466.0,548.0,8.780624389648438
89,status_quo,3,10,CC,7.0,102.66666666666669,300.0,147.6,0.0,0.0,51.4,1646.0,257.0,1.6708450317382812
94,status_quo,4,10,CC,6.0,72.0,173.5,211.5,0.0,0.0,57.16666666666666,1760.0,343.0,7.6842994689941415
99,status_quo,5,10,CC,7.0,,185.8,127.2,,68.8,0.0,1565.0,344.0,2.448450088500977
102,slevels_090,1,15,AA,12.0,82.55555555555556,69.0,261.25,0.0,0.0,0.0,1926.0,0.0,0.5310077667236328
107,slevels_090,2,15,AA,14.0,96.1,159.66666666666666,143.5,0.0,0.0,0.0,1727.0,0.0,0.4384059906005859
112,slevels_090,3,15,AA,11.0,92.71428571428572,70.66666666666667,234.2,0.0,53.33333333333334,0.0,2032.0,160.0,3.4055347442626958
117,slevels_090,4,15,AA,12.0,104.25,123.75,281.0,0.0,61.0,27.33333333333333,2172.0,326.0,0.4686069488525391
122,slevels_090,5,15,AA,12.0,77.1111111111111,122.33333333333331,182.66666666666663,0.0,127.66666666666669,37.333333333333336,1609.0,495.0,0.6860141754150391
103,slevels_100,1,15,AA,12.0,82.55555555555556,69.0,261.25,0.0,0.0,0.0,1926.0,0.0,0.3604106903076172
108,slevels_100,2,15,AA,14.0,96.1,159.66666666666666,143.5,0.0,0.0,0.0,1727.0,0.0,0.28240966796875
113,slevels_100,3,15,AA,11.0,92.71428571428572,70.66666666666667,234.2,0.0,53.33333333333334,0.0,2032.0,160.0,2.467428207397461
118,slevels_100,4,15,AA,12.0,104.25,123.75,281.0,0.0,61.0,27.33333333333333,2172.0,326.0,0.29700469970703125
123,slevels_100,5,15,AA,12.0,77.1111111111111,122.33333333333331,182.66666666666663,0.0,127.66666666666669,37.333333333333336,1609.0,495.0,0.4686107635498047
104,status_quo,1,15,AA,11.0,123.77777777777777,69.0,258.5,0.0,0.0,0.0,2286.0,0.0,0.6724147796630859
109,status_quo,2,15,AA,12.0,122.5,193.0,143.5,0.0,0.0,0.0,2091.0,0.0,0.6246070861816406
114,status_quo,3,15,AA,8.0,170.85714285714286,175.33333333333337,234.2,0.0,53.33333333333334,0.0,2893.0,160.0,17.38820457458496
119,status_quo,4,15,AA,11.0,135.25,123.75,281.0,0.0,61.0,27.33333333333333,2420.0,326.0,0.7036075592041016
124,status_quo,5,15,AA,10.0,138.88888888888889,317.0,100.33333333333331,0.0,0.0,37.333333333333336,2502.0,112.0,2.9372596740722656
127,slevels_090,1,15,BB,8.0,,129.0,216.16666666666663,,57.22222222222222,9.333333333333334,2458.0,571.0,1602.139446258545
132,slevels_090,2,15,BB,10.0,76.66666666666667,138.7,162.0,0.0,65.4,0.0,1941.0,654.0,189.68822288513184
142,slevels_090,4,15,BB,10.0,49.0,77.7,198.0,0.0,48.1,63.0,1618.0,733.0,46.2701473236084
147,slevels_090,5,15,BB,9.0,47.0,158.7,123.66666666666669,0.0,72.0,154.0,2052.0,1182.0,76.23490905761719
128,slevels_100,1,15,BB,8.0,,129.0,216.16666666666663,,57.22222222222222,9.333333333333334,2458.0,571.0,163.80641174316406
133,slevels_100,2,15,BB,11.0,76.66666666666667,115.9,162.0,0.0,65.4,0.0,1713.0,654.0,3.6253452301025386
143,slevels_100,4,15,BB,10.0,49.0,77.7,198.0,0.0,48.1,63.0,1618.0,733.0,19.82725715637207
148,slevels_100,5,15,BB,10.0,47.0,137.6,123.66666666666669,0.0,28.3,154.0,1841.0,745.0,16.62271499633789
129,status_quo,1,15,BB,8.0,,134.33333333333334,216.16666666666663,,39.111111111111114,9.333333333333334,2506.0,408.0,12564.328582763672
134,status_quo,2,15,BB,10.0,76.66666666666667,136.5,162.0,0.0,65.4,0.0,1919.0,654.0,836.2024955749513
144,status_quo,4,15,BB,9.0,49.0,132.7,203.5,0.0,39.7,64.5,2190.0,655.0,124.93429565429688
149,status_quo,5,15,BB,9.0,47.0,169.7,123.66666666666669,0.0,43.0,154.0,2162.0,892.0,295.2800369262696
157,slevels_090,2,15,CC,9.0,22.0,107.0,162.54545454545453,0.0,0.0,39.27272727272727,2131.0,432.0,147.87335586547854
162,slevels_090,3,15,CC,10.0,86.33333333333331,126.0,158.33333333333334,0.0,0.0,89.33333333333331,2062.0,804.0,16.733318328857422
167,slevels_090,4,15,CC,9.0,27.0,148.5,138.0,0.0,0.0,71.91666666666667,1980.0,863.0,31.57661437988281
172,slevels_090,5,15,CC,10.0,101.66666666666669,117.0,195.5,0.0,0.0,42.5,2291.0,340.0,12.453975677490234
158,slevels_100,2,15,CC,9.0,22.0,107.0,157.8181818181818,0.0,0.0,44.0,2079.0,484.0,206.01069831848145
163,slevels_100,3,15,CC,10.0,86.33333333333331,126.0,158.33333333333334,0.0,0.0,89.33333333333331,2062.0,804.0,17.169727325439453
168,slevels_100,4,15,CC,9.0,27.0,148.5,138.0,0.0,0.0,71.91666666666667,1980.0,863.0,28.35747337341309
173,slevels_100,5,15,CC,10.0,101.66666666666669,117.0,195.5,0.0,0.0,42.5,2291.0,340.0,9.842229843139648
159,status_quo,2,15,CC,8.0,22.0,200.0,162.54545454545453,0.0,0.0,65.63636363636364,2410.0,722.0,444.499101638794
164,status_quo,3,15,CC,10.0,70.66666666666667,143.66666666666666,164.22222222222226,0.0,0.0,89.33333333333331,2121.0,804.0,48.04820251464844
169,status_quo,4,15,CC,9.0,27.0,148.5,138.0,0.0,0.0,71.91666666666667,1980.0,863.0,79.45305252075195
174,status_quo,5,15,CC,9.0,155.66666666666666,117.0,195.5,0.0,0.0,42.5,2615.0,340.0,28.974506378173828
177,slevels_090,1,20,AA,19.0,65.92857142857143,80.75,201.0,0.0,0.0,0.0,1648.0,0.0,1.110212326049805
182,slevels_090,2,20,AA,16.0,68.625,,323.5,0.0,,0.0,2392.0,0.0,1.3900203704833984
187,slevels_090,3,20,AA,17.0,69.0,,279.0,0.0,,37.5,2220.0,150.0,1.4368209838867188
192,slevels_090,4,20,AA,16.0,83.91666666666667,209.16666666666663,102.0,0.0,18.0,0.0,2466.0,108.0,2.658136367797852
197,slevels_090,5,20,AA,18.0,78.23076923076924,113.4,90.5,0.0,0.0,20.0,1765.0,40.0,2.1862754821777344
178,slevels_100,1,20,AA,19.0,65.92857142857143,80.75,201.0,0.0,0.0,0.0,1648.0,0.0,0.6880130767822266
183,slevels_100,2,20,AA,16.0,68.625,,323.5,0.0,,0.0,2392.0,0.0,0.8128204345703125
188,slevels_100,3,20,AA,17.0,69.0,,279.0,0.0,,37.5,2220.0,150.0,0.9834213256835938
